ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000166770,-0.8744095284386,-1.1509946767774522,-0.5978243800997477,1.4728300836917105,-6.2480728376965935,4.300318400168787e-9,9.010740153671957e-5,10.336919239600352,ZNF667-AS1,ZNF667 antisense RNA 1 (head to head)
ENSG00000203930,-1.1563861364483685,-1.5401866444138108,-0.7725856284829262,3.6998241864620107,-5.954665767680833,1.8565900899853426e-8,1.4361343209399953e-4,9.07995424653382,LINC00632,long intergenic non-protein coding RNA 632
ENSG00000226310,-1.5288049391710106,-2.021662093980309,-1.035947784361712,-1.4332310442303005,-6.130431867349654,7.765871027899644e-9,9.010740153671957e-5,8.005653670312157,,novel transcript
ENSG00000283992,0.7701790999205844,0.4975447411299294,1.0428134587112394,5.148117725128698,5.583045930753055,1.1175638138930946e-7,5.914490439252976e-4,7.365023136620177,SLURP2,secreted LY6/PLAUR domain containing 2
ENSG00000164687,0.803540730174257,0.5069886470253774,1.1000928133231365,8.225432535904035,5.355092473751256,3.2483951685130796e-7,9.515332301987852e-4,6.187135428916427,FABP5,fatty acid binding protein 5
ENSG00000136688,1.1611324525720108,0.7186293684483757,1.6036355366956458,4.92665766318865,5.185916502142317,7.045291968733007e-7,0.0015384217687248658,5.650885904153209,IL36G,interleukin 36 gamma
ENSG00000261441,0.9705459881539136,0.6092675425622639,1.3318244337455631,-0.47472836102639,5.309261612400778,4.012493251270029e-7,0.0010345990932108032,5.573893764240932,POLG-DT,POLG divergent transcript
ENSG00000134775,-0.7181629408432029,-0.9971414583149392,-0.4391844233714665,3.550107006580619,-5.087592133185013,1.0969938878293336e-6,0.0015910525100604697,5.230431974728332,FHOD3,formin homology 2 domain containing 3
ENSG00000152785,-1.2848245101553863,-1.7897925509774262,-0.7798564693333466,-0.7011501617233953,-5.028517649142213,1.427643859460309e-6,0.0017436791264545228,4.78717286490822,BMP3,bone morphogenetic protein 3
ENSG00000182168,-1.3842541926456262,-1.9164364876180062,-0.8520718976732462,-0.45342515953751017,-5.14061979359872,8.645289592757634e-7,0.0015432506945348742,4.785018317411655,UNC5C,unc-5 netrin receptor C
ENSG00000182492,-0.6553444178379744,-0.9168347729412033,-0.39385406273474544,4.293194447240723,-4.953064553838006,1.9930233659740893e-6,0.002202385725275939,4.606912952768874,BGN,biglycan
ENSG00000172243,1.070013054913067,0.6401756069471376,1.4998505028789966,3.634703298901149,4.919770974212752,2.306731485367107e-6,0.0023858232599285704,4.579795901737029,CLEC7A,C-type lectin domain containing 7A
ENSG00000082482,-0.8019400664650307,-1.1253062692677314,-0.47857386366233007,1.7829916796232443,-4.90125551391408,2.5013972073820432e-6,0.002418642649771154,4.50170091525242,KCNK2,potassium two pore domain channel subfamily K member 2
ENSG00000180440,-2.1487595917597555,-2.9741170737699445,-1.3234021097495665,-2.1136160715309216,-5.145241860455675,8.467060417347058e-7,0.0015432506945348742,4.295566400123929,SERTM1,serine rich and transmembrane domain containing 1
ENSG00000287090,0.6184442742590726,0.36631796848375364,0.8705705800343915,1.8159018184503222,4.847775183670436,3.1573942693622115e-6,0.0027708310075379643,4.251422893793977,,novel transcript
ENSG00000103742,-0.7889901870528628,-1.1150449965592664,-0.4629353775464592,1.3629025764032092,-4.782346614033988,4.188755994436929e-6,0.0031356216647388186,3.9859105446893626,IGDCC4,immunoglobulin superfamily DCC subclass member 4
ENSG00000124159,-1.1184346804606127,-1.5857768128993737,-0.6510925480218516,1.3018167973315238,-4.7297234491138465,5.248307589118435e-6,0.0035685350387315773,3.827030660699365,MATN4,matrilin 4
ENSG00000155657,-1.0552880638194173,-1.4959004642514828,-0.6146756633873518,3.4369503721585892,-4.73341266959407,5.166266164737664e-6,0.0035685350387315773,3.823628644676673,TTN,titin
ENSG00000268104,1.4034033100877306,0.8133195593783864,1.9934870607970747,4.855094117706636,4.7003359492014685,5.948383703758826e-6,0.0036688500565259033,3.648335915380553,SLC6A14,solute carrier family 6 member 14
ENSG00000279235,-1.1482346875522738,-1.6050193552458147,-0.6914500198587328,-1.5928907269231414,-4.9679727272255185,1.8663617591438242e-6,0.002165539549134579,3.6386184770235444,,tec
